,sal,rooz,Month,zarrineh_Debi
72,1371,11,1,116.1
73,1371,12,1,129.0
74,1371,13,1,135.0
75,1371,14,1,153.0
76,1371,15,1,162.0
77,1371,16,1,165.0
78,1371,17,1,153.0
79,1371,18,1,138.0
80,1371,19,1,141.0
81,1371,20,1,191.25
82,1371,21,1,312.83
83,1371,22,1,387.83
84,1371,23,1,404.33
85,1371,24,1,408.0
86,1371,25,1,400.0
87,1371,26,1,366.0
88,1371,27,1,322.0
89,1371,28,1,338.0
90,1371,29,1,338.0
91,1371,30,1,340.0
92,1371,31,1,340.0
961,1371,1,2,346.0
962,1371,2,2,360.0
963,1371,3,2,356.0
964,1371,4,2,336.0
965,1371,5,2,310.0
966,1371,6,2,280.0
967,1371,7,2,308.0
968,1371,8,2,336.0
969,1371,9,2,348.0
970,1371,10,2,360.0
971,1371,11,2,330.0
972,1371,12,2,294.0
973,1371,13,2,312.0
974,1371,14,2,304.0
975,1371,15,2,288.0
976,1371,16,2,284.0
977,1371,17,2,266.0
978,1371,18,2,260.0
979,1371,19,2,262.0
980,1371,20,2,248.0
981,1371,21,2,246.0
982,1371,22,2,240.0
983,1371,23,2,322.5
984,1371,24,2,368.0
985,1371,25,2,356.0
986,1371,26,2,350.0
987,1371,27,2,326.0
988,1371,28,2,292.0
989,1371,29,2,272.0
990,1371,30,2,264.0
991,1371,31,2,238.0
1860,1371,1,3,214.0
1861,1371,2,3,204.0
1862,1371,3,3,199.5
1863,1371,4,3,186.0
1864,1371,5,3,175.5
1865,1371,6,3,171.0
1866,1371,7,3,166.5
1867,1371,8,3,154.5
1868,1371,9,3,142.5
1869,1371,10,3,132.0
1870,1371,11,3,123.0
1871,1371,12,3,116.1
1872,1371,13,3,100.5
1873,1371,14,3,92.8
1874,1371,15,3,79.6
1875,1371,16,3,72.4
1876,1371,17,3,57.0
1877,1371,18,3,44.5
1878,1371,19,3,36.8
1879,1371,20,3,29.2
1880,1371,21,3,22.6
1881,1371,22,3,19.0
1882,1371,23,3,14.6
1883,1371,24,3,12.21
1884,1371,25,3,14.05
1885,1371,26,3,16.25
1886,1371,27,3,13.07
1887,1371,28,3,10.49
1888,1371,29,3,8.21
1889,1371,30,3,7.88
1890,1371,31,3,8.87
2759,1371,1,4,10.49
2760,1371,2,4,10.49
2761,1371,3,4,9.63
2762,1371,4,4,8.87
2763,1371,5,4,10.92
2764,1371,6,4,13.5
2765,1371,7,4,11.78
2766,1371,8,4,12.64
2767,1371,9,4,11.78
2768,1371,10,4,12.64
2769,1371,11,4,11.78
2770,1371,12,4,10.92
2771,1371,13,4,10.49
2772,1371,14,4,9.63
2773,1371,15,4,8.54
2774,1371,16,4,8.21
2775,1371,17,4,9.2
2776,1371,18,4,9.63
2777,1371,19,4,9.2
2778,1371,20,4,9.63
2779,1371,21,4,9.63
2780,1371,22,4,9.2
2781,1371,23,4,10.06
2782,1371,24,4,10.49
2783,1371,25,4,9.63
2784,1371,26,4,10.06
2785,1371,27,4,9.63
2786,1371,28,4,8.87
2787,1371,29,4,8.54
2788,1371,30,4,8.54
2789,1371,31,4,8.21
3658,1371,1,5,8.21
3659,1371,2,5,8.21
3660,1371,3,5,7.88
3661,1371,4,5,7.88
3662,1371,5,5,7.88
3663,1371,6,5,7.55
3664,1371,7,5,7.22
3665,1371,8,5,7.55
3666,1371,9,5,7.22
3667,1371,10,5,6.89
3668,1371,11,5,7.22
3669,1371,12,5,6.56
3670,1371,13,5,6.56
3671,1371,14,5,6.56
3672,1371,15,5,6.23
3673,1371,16,5,6.56
3674,1371,17,5,6.23
3675,1371,18,5,6.56
