,sal,rooz,Month,nazloo_Debi
16650,1330,4,9,2.8
16651,1330,5,9,2.9
16652,1330,6,9,2.9
16653,1330,7,9,2.9
16654,1330,8,9,2.9
16655,1330,9,9,2.9
16656,1330,10,9,2.9
16657,1330,11,9,3.0
16658,1330,12,9,2.9
16659,1330,13,9,3.2
16660,1330,14,9,3.0
16661,1330,15,9,2.9
16662,1330,16,9,2.8
16663,1330,17,9,2.8
16664,1330,18,9,2.8
16665,1330,19,9,2.8
16666,1330,20,9,2.8
16667,1330,21,9,2.9
16668,1330,22,9,2.9
16669,1330,23,9,3.0
16670,1330,24,9,3.2
16671,1330,25,9,3.0
16672,1330,26,9,2.5
16673,1330,27,9,2.2
16674,1330,28,9,1.5
16675,1330,29,9,2.6
16676,1330,30,9,2.9
16677,1330,31,9,
18724,1330,1,10,2.9
18725,1330,2,10,3.0
18726,1330,3,10,3.4
18727,1330,4,10,3.3
18728,1330,5,10,3.6
18729,1330,6,10,3.8
18730,1330,7,10,3.9
18731,1330,8,10,4.1
18732,1330,9,10,4.2
18733,1330,10,10,3.3
18734,1330,11,10,3.3
18735,1330,12,10,3.9
18736,1330,13,10,4.0
18737,1330,14,10,4.2
18738,1330,15,10,4.1
18739,1330,16,10,4.5
18740,1330,17,10,3.4
18741,1330,18,10,3.2
18742,1330,19,10,3.4
18743,1330,20,10,3.2
18744,1330,21,10,3.3
18745,1330,22,10,3.8
18746,1330,23,10,3.3
18747,1330,24,10,3.8
18748,1330,25,10,3.3
18749,1330,26,10,3.8
18750,1330,27,10,3.9
18751,1330,28,10,4.0
18752,1330,29,10,4.0
18753,1330,30,10,4.1
18754,1330,31,10,
20801,1330,1,11,4.1
20802,1330,2,11,4.3
20803,1330,3,11,4.2
20804,1330,4,11,3.4
20805,1330,5,11,3.9
20806,1330,6,11,3.5
20807,1330,7,11,3.4
20808,1330,8,11,3.0
20809,1330,9,11,3.2
20810,1330,10,11,3.0
20811,1330,11,11,3.0
20812,1330,12,11,3.2
20813,1330,13,11,3.7
20814,1330,14,11,4.3
20815,1330,15,11,4.2
20816,1330,16,11,4.2
20817,1330,17,11,4.3
20818,1330,18,11,4.5
20819,1330,19,11,4.7
20820,1330,20,11,4.9
20821,1330,21,11,6.0
20822,1330,22,11,4.5
20823,1330,23,11,4.3
20824,1330,24,11,4.2
20825,1330,25,11,3.9
20826,1330,26,11,3.7
20827,1330,27,11,3.9
20828,1330,28,11,3.7
20829,1330,29,11,3.9
20830,1330,30,11,4.0
20831,1330,31,11,
22878,1330,1,12,4.5
22879,1330,2,12,4.0
22880,1330,3,12,4.3
22881,1330,4,12,4.0
22882,1330,5,12,4.0
22883,1330,6,12,4.3
22884,1330,7,12,4.5
22885,1330,8,12,4.7
22886,1330,9,12,4.5
22887,1330,10,12,4.7
22888,1330,11,12,5.0
22889,1330,12,12,5.0
22890,1330,13,12,5.2
22891,1330,14,12,5.0
22892,1330,15,12,3.9
22893,1330,16,12,3.8
22894,1330,17,12,4.0
22895,1330,18,12,4.0
22896,1330,19,12,4.1
22897,1330,20,12,4.3
22898,1330,21,12,4.2
22899,1330,22,12,4.1
22900,1330,23,12,4.3
22901,1330,24,12,4.5
22902,1330,25,12,6.1
22903,1330,26,12,9.0
22904,1330,27,12,9.2
22905,1330,28,12,8.6
22906,1330,29,12,7.0
22907,1330,30,12,
22908,1330,31,12,
62,1331,1,1,4.2
63,1331,2,1,4.4
64,1331,3,1,4.6
65,1331,4,1,4.6
66,1331,5,1,4.8
67,1331,6,1,5.0
68,1331,7,1,5.2
69,1331,8,1,5.3
70,1331,9,1,5.5
71,1331,10,1,6.4
72,1331,11,1,8.2
73,1331,12,1,8.6
74,1331,13,1,8.8
75,1331,14,1,9.2
76,1331,15,1,9.8
77,1331,16,1,12.0
78,1331,17,1,13.0
79,1331,18,1,16.0
80,1331,19,1,17.0
81,1331,20,1,18.0
82,1331,21,1,20.0
83,1331,22,1,21.0
84,1331,23,1,21.0
85,1331,24,1,22.0
86,1331,25,1,22.0
87,1331,26,1,58.0
88,1331,27,1,61.0
89,1331,28,1,54.0
90,1331,29,1,53.0
91,1331,30,1,51.0
92,1331,31,1,51.0
2139,1331,1,2,51.0
2140,1331,2,2,50.0
2141,1331,3,2,50.0
2142,1331,4,2,51.0
2143,1331,5,2,51.0
2144,1331,6,2,52.0
2145,1331,7,2,52.0
2146,1331,8,2,52.0
2147,1331,9,2,52.0
2148,1331,10,2,53.0
2149,1331,11,2,52.0
2150,1331,12,2,52.0
2151,1331,13,2,51.0
2152,1331,14,2,52.0
2153,1331,15,2,52.0
2154,1331,16,2,53.0
2155,1331,17,2,54.0
2156,1331,18,2,53.0
2157,1331,19,2,54.0
2158,1331,20,2,54.0
2159,1331,21,2,53.0
2160,1331,22,2,54.0
2161,1331,23,2,54.0
2162,1331,24,2,55.0
2163,1331,25,2,55.0
2164,1331,26,2,54.0
2165,1331,27,2,50.0
2166,1331,28,2,52.0
2167,1331,29,2,52.0
2168,1331,30,2,53.0
2169,1331,31,2,51.0
4216,1331,1,3,37.0
4217,1331,2,3,36.0
4218,1331,3,3,36.0
4219,1331,4,3,35.0
4220,1331,5,3,33.0
4221,1331,6,3,31.0
