,sal,rooz,Month,zola_Debi
2830,1354,10,3,8.18
2831,1354,11,3,7.52
2832,1354,12,3,6.86
2833,1354,13,3,6.04
2834,1354,14,3,5.63
2835,1354,15,3,4.64
2836,1354,16,3,4.11
2837,1354,17,3,3.4
2838,1354,18,3,3.75
2839,1354,19,3,3.04
2840,1354,20,3,2.61
2841,1354,21,3,2.33
2842,1354,22,3,1.19
2843,1354,23,3,1.51
2844,1354,24,3,1.19
2845,1354,25,3,0.54
2846,1354,26,3,0.29
2847,1354,27,3,0.12
2848,1354,28,3,0.03
2849,1354,29,3,0.03
2850,1354,30,3,0.46
2851,1354,31,3,0.76
4216,1354,1,4,0.65
4217,1354,2,4,0.29
4218,1354,3,4,0.04
4219,1354,4,4,0.03
4220,1354,5,4,0.02
4221,1354,6,4,0.02
4222,1354,7,4,0.02
4223,1354,8,4,0.02
4224,1354,9,4,0.02
4225,1354,10,4,0.02
4226,1354,11,4,0.02
4227,1354,12,4,0.02
4228,1354,13,4,0.01
4229,1354,14,4,5.23
4230,1354,15,4,0.01
4231,1354,16,4,0.01
4232,1354,17,4,0.01
4233,1354,18,4,0.01
4234,1354,19,4,0.01
4235,1354,20,4,0.01
4236,1354,21,4,0.01
4237,1354,22,4,0.01
4238,1354,23,4,0.01
4239,1354,24,4,0.01
4240,1354,25,4,0.01
4241,1354,26,4,0.01
4242,1354,27,4,0.01
4243,1354,28,4,0.01
4244,1354,29,4,0.02
4245,1354,30,4,0.02
4246,1354,31,4,0.01
5611,1354,1,5,0.01
5612,1354,2,5,0.02
5613,1354,3,5,0.01
5614,1354,4,5,0.01
5615,1354,5,5,0.01
5616,1354,6,5,0.01
5617,1354,7,5,0.01
5618,1354,8,5,0.01
5619,1354,9,5,0.01
5620,1354,10,5,0.01
5621,1354,11,5,0.01
5622,1354,12,5,0.01
5623,1354,13,5,0.01
5624,1354,14,5,0.01
5625,1354,15,5,
5626,1354,16,5,0.01
5627,1354,17,5,
5628,1354,18,5,
5629,1354,19,5,
5630,1354,20,5,0.01
5631,1354,21,5,
5632,1354,22,5,0.01
5633,1354,23,5,0.01
5634,1354,24,5,
5635,1354,25,5,0.01
5636,1354,26,5,
5637,1354,27,5,0.01
5638,1354,28,5,
5639,1354,29,5,0.01
5640,1354,30,5,
5641,1354,31,5,0.01
7006,1354,1,6,
7007,1354,2,6,
7008,1354,3,6,0.01
7009,1354,4,6,0.01
7010,1354,5,6,
7011,1354,6,6,0.01
7012,1354,7,6,0.01
7013,1354,8,6,0.02
7014,1354,9,6,0.01
7015,1354,10,6,0.01
7016,1354,11,6,0.01
7017,1354,12,6,0.01
7018,1354,13,6,0.01
7019,1354,14,6,0.01
7020,1354,15,6,0.01
7021,1354,16,6,0.01
7022,1354,17,6,0.01
7023,1354,18,6,0.01
7024,1354,19,6,0.01
7025,1354,20,6,0.01
7026,1354,21,6,0.01
7027,1354,22,6,0.01
7028,1354,23,6,2.63
7029,1354,24,6,0.97
7030,1354,25,6,0.12
7031,1354,26,6,0.03
7032,1354,27,6,0.02
7033,1354,28,6,0.03
7034,1354,29,6,0.02
7035,1354,30,6,0.02
7036,1354,31,6,0.02
8401,1354,1,7,0.01
8402,1354,2,7,0.04
8403,1354,3,7,
8404,1354,4,7,0.04
8405,1354,5,7,
8406,1354,6,7,
8407,1354,7,7,0.1
8408,1354,8,7,0.59
8409,1354,9,7,1.64
8410,1354,10,7,0.59
8411,1354,11,7,5.3
8412,1354,12,7,1.99
8413,1354,13,7,1.64
8414,1354,14,7,1.64
8415,1354,15,7,1.1
8416,1354,16,7,1.1
8417,1354,17,7,1.0
8418,1354,18,7,1.0
8419,1354,19,7,0.89
8420,1354,20,7,0.68
8421,1354,21,7,0.59
8422,1354,22,7,0.89
