,sal,rooz,Month,chehrig_olia_EV
7950,1364,15,6,8.5
7951,1364,16,6,9.1
7952,1364,17,6,9.0
7953,1364,18,6,8.0
7954,1364,19,6,10.2
7955,1364,20,6,8.5
7956,1364,21,6,10.2
7957,1364,22,6,10.2
7958,1364,23,6,11.4
7959,1364,24,6,8.5
7960,1364,25,6,8.0
7961,1364,26,6,6.8
7962,1364,27,6,6.8
7963,1364,28,6,8.5
7964,1364,29,6,7.3
7965,1364,30,6,7.3
7966,1364,31,6,8.5
9517,1364,1,7,10.2
9518,1364,2,7,10.2
9519,1364,3,7,8.0
9520,1364,4,7,8.0
9521,1364,5,7,6.8
9522,1364,6,7,8.0
9523,1364,7,7,8.0
9524,1364,8,7,9.1
9525,1364,9,7,8.0
9526,1364,10,7,6.8
9527,1364,11,7,6.8
9528,1364,12,7,5.7
9529,1364,13,7,8.0
9530,1364,14,7,5.7
9531,1364,15,7,5.7
9532,1364,16,7,5.7
9533,1364,17,7,5.7
9534,1364,18,7,3.3
9535,1364,19,7,2.9
9536,1364,20,7,1.0
9537,1364,21,7,3.4
9538,1364,22,7,6.8
9539,1364,23,7,5.7
9540,1364,24,7,5.7
9541,1364,25,7,5.7
9542,1364,26,7,5.7
9543,1364,27,7,5.7
9544,1364,28,7,2.2
9545,1364,29,7,1.1
9546,1364,30,7,5.7
9547,1364,31,7,
11098,1364,1,8,3.4
11099,1364,2,8,5.7
11100,1364,3,8,5.7
11101,1364,4,8,3.4
11102,1364,5,8,2.2
11103,1364,6,8,3.4
11104,1364,7,8,5.7
11105,1364,8,8,3.4
11106,1364,9,8,3.4
11107,1364,10,8,1.6
11108,1364,11,8,2.6
11109,1364,12,8,3.4
11110,1364,13,8,2.3
11111,1364,14,8,4.5
11112,1364,15,8,3.4
11113,1364,16,8,0.4
11114,1364,17,8,3.4
11115,1364,18,8,3.4
11116,1364,19,8,2.3
11117,1364,20,8,0.1
11118,1364,21,8,0.5
11119,1364,22,8,2.3
11120,1364,23,8,2.3
11121,1364,24,8,2.3
11122,1364,25,8,1.1
11123,1364,26,8,1.1
11124,1364,27,8,1.1
11125,1364,28,8,1.1
11126,1364,29,8,1.1
11127,1364,30,8,1.1
11128,1364,31,8,
12679,1364,1,9,1.1
12680,1364,2,9,1.1
12681,1364,3,9,2.3
12682,1364,4,9,1.7
12683,1364,5,9,2.6
12684,1364,6,9,2.3
12685,1364,7,9,2.3
12686,1364,8,9,2.3
12687,1364,9,9,1.1
12688,1364,10,9,1.1
12689,1364,11,9,0.4
12690,1364,12,9,
12691,1364,13,9,
12692,1364,14,9,
12693,1364,15,9,
12694,1364,16,9,
12695,1364,17,9,
12696,1364,18,9,
12697,1364,19,9,
12698,1364,20,9,
12699,1364,21,9,
12700,1364,22,9,
12701,1364,23,9,
12702,1364,24,9,
12703,1364,25,9,
12704,1364,26,9,
12705,1364,27,9,
12706,1364,28,9,
12707,1364,29,9,
12708,1364,30,9,
12709,1364,31,9,
14260,1364,1,10,
14261,1364,2,10,
14262,1364,3,10,
14263,1364,4,10,
14264,1364,5,10,
14265,1364,6,10,
14266,1364,7,10,
14267,1364,8,10,
14268,1364,9,10,
14269,1364,10,10,
14270,1364,11,10,
14271,1364,12,10,
14272,1364,13,10,
14273,1364,14,10,
14274,1364,15,10,
14275,1364,16,10,
14276,1364,17,10,
14277,1364,18,10,
14278,1364,19,10,
14279,1364,20,10,
14280,1364,21,10,
14281,1364,22,10,
14282,1364,23,10,
14283,1364,24,10,
14284,1364,25,10,
14285,1364,26,10,
14286,1364,27,10,
14287,1364,28,10,
14288,1364,29,10,
14289,1364,30,10,
14290,1364,31,10,
15841,1364,1,11,
15842,1364,2,11,
15843,1364,3,11,
15844,1364,4,11,
15845,1364,5,11,
15846,1364,6,11,
15847,1364,7,11,
15848,1364,8,11,
15849,1364,9,11,
15850,1364,10,11,
15851,1364,11,11,
15852,1364,12,11,
15853,1364,13,11,
15854,1364,14,11,
15855,1364,15,11,
15856,1364,16,11,
15857,1364,17,11,
15858,1364,18,11,
15859,1364,19,11,
15860,1364,20,11,
15861,1364,21,11,
15862,1364,22,11,
15863,1364,23,11,
15864,1364,24,11,
15865,1364,25,11,
15866,1364,26,11,
15867,1364,27,11,
15868,1364,28,11,
15869,1364,29,11,
15870,1364,30,11,
15871,1364,31,11,
17422,1364,1,12,
17423,1364,2,12,
17424,1364,3,12,
17425,1364,4,12,
17426,1364,5,12,
17427,1364,6,12,
17428,1364,7,12,
17429,1364,8,12,
17430,1364,9,12,
17431,1364,10,12,
17432,1364,11,12,
17433,1364,12,12,
17434,1364,13,12,
17435,1364,14,12,
17436,1364,15,12,
17437,1364,16,12,
17438,1364,17,12,
17439,1364,18,12,
17440,1364,19,12,
17441,1364,20,12,
17442,1364,21,12,
17443,1364,22,12,
17444,1364,23,12,
17445,1364,24,12,
17446,1364,25,12,
17447,1364,26,12,
17448,1364,27,12,
17449,1364,28,12,
17450,1364,29,12,
17451,1364,30,12,
17452,1364,31,12,
62,1365,1,1,
63,1365,2,1,
64,1365,3,1,
65,1365,4,1,
66,1365,5,1,
67,1365,6,1,
