,sal,rooz,Month,golman_abShirin_EV
10714,1369,20,9,0.5
10715,1369,21,9,0.7
10716,1369,22,9,0.4
10717,1369,23,9,0.4
10718,1369,24,9,0.4
10719,1369,25,9,0.5
10720,1369,26,9,0.5
10721,1369,27,9,1.3
10722,1369,28,9,1.1
10723,1369,29,9,0.1
10724,1369,30,9,0.2
10725,1369,31,9,
12028,1369,1,10,
12029,1369,2,10,
12030,1369,3,10,
12031,1369,4,10,
12032,1369,5,10,
12033,1369,6,10,
12034,1369,7,10,
12035,1369,8,10,
12036,1369,9,10,
12037,1369,10,10,
12038,1369,11,10,
12039,1369,12,10,
12040,1369,13,10,
12041,1369,14,10,
12042,1369,15,10,
12043,1369,16,10,
12044,1369,17,10,
12045,1369,18,10,
12046,1369,19,10,
12047,1369,20,10,
12048,1369,21,10,
12049,1369,22,10,
12050,1369,23,10,
12051,1369,24,10,
12052,1369,25,10,
12053,1369,26,10,
12054,1369,27,10,
12055,1369,28,10,
12056,1369,29,10,
12057,1369,30,10,
12058,1369,31,10,
13361,1369,1,11,
13362,1369,2,11,
13363,1369,3,11,
13364,1369,4,11,
13365,1369,5,11,
13366,1369,6,11,
13367,1369,7,11,
13368,1369,8,11,
13369,1369,9,11,
13370,1369,10,11,
13371,1369,11,11,
13372,1369,12,11,
13373,1369,13,11,
13374,1369,14,11,
13375,1369,15,11,
13376,1369,16,11,
13377,1369,17,11,
13378,1369,18,11,
13379,1369,19,11,
13380,1369,20,11,
13381,1369,21,11,
13382,1369,22,11,
13383,1369,23,11,
13384,1369,24,11,
13385,1369,25,11,
13386,1369,26,11,
13387,1369,27,11,
13388,1369,28,11,
13389,1369,29,11,
13390,1369,30,11,
13391,1369,31,11,
14694,1369,1,12,
14695,1369,2,12,
14696,1369,3,12,
14697,1369,4,12,
14698,1369,5,12,
14699,1369,6,12,
14700,1369,7,12,
14701,1369,8,12,
14702,1369,9,12,
14703,1369,10,12,
14704,1369,11,12,
14705,1369,12,12,
14706,1369,13,12,
14707,1369,14,12,
14708,1369,15,12,
14709,1369,16,12,
14710,1369,17,12,
14711,1369,18,12,
14712,1369,19,12,
14713,1369,20,12,
14714,1369,21,12,
14715,1369,22,12,
14716,1369,23,12,
14717,1369,24,12,
14718,1369,25,12,
14719,1369,26,12,
14720,1369,27,12,
14721,1369,28,12,
