,index,sal,rooz,Month,pi_gale_EV
614,11340,1363,26,8,1.7
615,11341,1363,27,8,1.3
616,11342,1363,28,8,1.9
617,11343,1363,29,8,1.9
618,11344,1363,30,8,2.4
619,11345,1363,31,8,
620,12927,1363,1,9,2.3
621,12928,1363,2,9,2.4
622,12929,1363,3,9,2.6
623,12930,1363,4,9,5.9
624,12931,1363,5,9,1.9
625,12932,1363,6,9,2.6
626,12933,1363,7,9,1.3
627,12934,1363,8,9,2.3
628,12935,1363,9,9,3.9
629,12936,1363,10,9,2.8
630,12937,1363,11,9,1.1
631,12938,1363,12,9,1.0
632,12939,1363,13,9,0.6
633,12940,1363,14,9,2.2
634,12941,1363,15,9,4.8
635,12942,1363,16,9,
636,12943,1363,17,9,
637,12944,1363,18,9,
638,12945,1363,19,9,
639,12946,1363,20,9,
640,12947,1363,21,9,
641,12948,1363,22,9,
642,12949,1363,23,9,
643,12950,1363,24,9,
644,12951,1363,25,9,
645,12952,1363,26,9,
646,12953,1363,27,9,
647,12954,1363,28,9,
648,12955,1363,29,9,
649,12956,1363,30,9,
650,12957,1363,31,9,
651,14539,1363,1,10,
652,14540,1363,2,10,
653,14541,1363,3,10,
654,14542,1363,4,10,
655,14543,1363,5,10,
656,14544,1363,6,10,
657,14545,1363,7,10,
658,14546,1363,8,10,
659,14547,1363,9,10,
660,14548,1363,10,10,
661,14549,1363,11,10,
662,14550,1363,12,10,
663,14551,1363,13,10,
664,14552,1363,14,10,
665,14553,1363,15,10,
666,14554,1363,16,10,
667,14555,1363,17,10,
668,14556,1363,18,10,
669,14557,1363,19,10,
670,14558,1363,20,10,
671,14559,1363,21,10,
672,14560,1363,22,10,
673,14561,1363,23,10,
674,14562,1363,24,10,
675,14563,1363,25,10,
676,14564,1363,26,10,
677,14565,1363,27,10,
678,14566,1363,28,10,
679,14567,1363,29,10,
680,14568,1363,30,10,
681,14569,1363,31,10,
682,16151,1363,1,11,
683,16152,1363,2,11,
684,16153,1363,3,11,
685,16154,1363,4,11,
686,16155,1363,5,11,
687,16156,1363,6,11,
688,16157,1363,7,11,
689,16158,1363,8,11,
690,16159,1363,9,11,
691,16160,1363,10,11,
692,16161,1363,11,11,
693,16162,1363,12,11,
694,16163,1363,13,11,
695,16164,1363,14,11,
696,16165,1363,15,11,
697,16166,1363,16,11,
698,16167,1363,17,11,
699,16168,1363,18,11,
700,16169,1363,19,11,
701,16170,1363,20,11,
702,16171,1363,21,11,
703,16172,1363,22,11,
704,16173,1363,23,11,
705,16174,1363,24,11,
706,16175,1363,25,11,
707,16176,1363,26,11,
708,16177,1363,27,11,
709,16178,1363,28,11,
710,16179,1363,29,11,
711,16180,1363,30,11,
712,16181,1363,31,11,
713,17763,1363,1,12,
714,17764,1363,2,12,
715,17765,1363,3,12,
716,17766,1363,4,12,
717,17767,1363,5,12,
718,17768,1363,6,12,
719,17769,1363,7,12,
720,17770,1363,8,12,
721,17771,1363,9,12,
722,17772,1363,10,12,
723,17773,1363,11,12,
724,17774,1363,12,12,
725,17775,1363,13,12,
726,17776,1363,14,12,
727,17777,1363,15,12,
728,17778,1363,16,12,
729,17779,1363,17,12,
730,17780,1363,18,12,
731,17781,1363,19,12,
732,17782,1363,20,12,
733,17783,1363,21,12,
734,17784,1363,22,12,
735,17785,1363,23,12,
736,17786,1363,24,12,
737,17787,1363,25,12,
738,17788,1363,26,12,
739,17789,1363,27,12,
740,17790,1363,28,12,
741,17791,1363,29,12,
742,17792,1363,30,12,
743,17793,1363,31,12,
744,62,1364,1,1,0.8
745,63,1364,2,1,0.6
746,64,1364,3,1,0.5
747,65,1364,4,1,0.6
748,66,1364,5,1,0.6
749,67,1364,6,1,1.4
750,68,1364,7,1,2.7
751,69,1364,8,1,4.3
752,70,1364,9,1,2.7
753,71,1364,10,1,5.2
754,72,1364,11,1,4.2
755,73,1364,12,1,0.9
756,74,1364,13,1,1.1
757,75,1364,14,1,4.6
758,76,1364,15,1,2.9
759,77,1364,16,1,2.5
760,78,1364,17,1,4.1
761,79,1364,18,1,0.9
762,80,1364,19,1,2.2
763,81,1364,20,1,0.3
764,82,1364,21,1,0.2
765,83,1364,22,1,1.3
766,84,1364,23,1,4.5
767,85,1364,24,1,5.7
768,86,1364,25,1,1.7
769,87,1364,26,1,3.4
770,88,1364,27,1,2.0
771,89,1364,28,1,3.1
772,90,1364,29,1,4.4
773,91,1364,30,1,5.7
774,92,1364,31,1,2.8
775,1674,1364,1,2,3.0
776,1675,1364,2,2,2.6
777,1676,1364,3,2,5.4
778,1677,1364,4,2,6.3
779,1678,1364,5,2,6.4
780,1679,1364,6,2,3.8
781,1680,1364,7,2,2.2
782,1681,1364,8,2,2.4
783,1682,1364,9,2,1.9
784,1683,1364,10,2,1.9
785,1684,1364,11,2,4.5
786,1685,1364,12,2,4.2
787,1686,1364,13,2,6.7
788,1687,1364,14,2,2.6
789,1688,1364,15,2,5.2
790,1689,1364,16,2,1.6
791,1690,1364,17,2,2.4
792,1691,1364,18,2,1.6
793,1692,1364,19,2,4.8
794,1693,1364,20,2,4.9
795,1694,1364,21,2,5.2
796,1695,1364,22,2,4.0
797,1696,1364,23,2,1.9
798,1697,1364,24,2,3.1
799,1698,1364,25,2,4.5
800,1699,1364,26,2,3.4
801,1700,1364,27,2,5.2
802,1701,1364,28,2,4.6
803,1702,1364,29,2,5.2
804,1703,1364,30,2,4.5
805,1704,1364,31,2,5.9
806,3286,1364,1,3,5.6
807,3287,1364,2,3,6.7
808,3288,1364,3,3,3.8
809,3289,1364,4,3,5.8
810,3290,1364,5,3,6.7
811,3291,1364,6,3,6.8
812,3292,1364,7,3,6.6
813,3293,1364,8,3,6.9
814,3294,1364,9,3,4.5
815,3295,1364,10,3,10.0
816,3296,1364,11,3,6.5
817,3297,1364,12,3,7.4
818,3298,1364,13,3,6.6
819,3299,1364,14,3,8.4
820,3300,1364,15,3,6.7
821,3301,1364,16,3,7.7
822,3302,1364,17,3,7.8
823,3303,1364,18,3,5.0
824,3304,1364,19,3,5.7
825,3305,1364,20,3,4.7
826,3306,1364,21,3,6.3
827,3307,1364,22,3,8.4
828,3308,1364,23,3,8.7
829,3309,1364,24,3,7.7
830,3310,1364,25,3,8.2
831,3311,1364,26,3,7.1
832,3312,1364,27,3,2.1
833,3313,1364,28,3,5.6
834,3314,1364,29,3,5.6
835,3315,1364,30,3,8.4
836,3316,1364,31,3,4.8
837,4898,1364,1,4,5.9
838,4899,1364,2,4,6.6
839,4900,1364,3,4,7.1
840,4901,1364,4,4,7.5
841,4902,1364,5,4,6.6
842,4903,1364,6,4,11.1
843,4904,1364,7,4,12.0
844,4905,1364,8,4,14.7
845,4906,1364,9,4,11.9
846,4907,1364,10,4,9.5
847,4908,1364,11,4,6.8
848,4909,1364,12,4,7.3
849,4910,1364,13,4,9.6
850,4911,1364,14,4,10.4
851,4912,1364,15,4,10.4
852,4913,1364,16,4,10.2
853,4914,1364,17,4,9.6
854,4915,1364,18,4,13.8
855,4916,1364,19,4,12.3
856,4917,1364,20,4,11.9
857,4918,1364,21,4,9.0
858,4919,1364,22,4,6.4
859,4920,1364,23,4,11.0
860,4921,1364,24,4,7.3
861,4922,1364,25,4,8.3
862,4923,1364,26,4,6.3
863,4924,1364,27,4,8.7
864,4925,1364,28,4,8.6
865,4926,1364,29,4,8.5
866,4927,1364,30,4,7.6
867,4928,1364,31,4,9.2
868,6510,1364,1,5,8.3
869,6511,1364,2,5,10.5
870,6512,1364,3,5,9.4
871,6513,1364,4,5,11.6
872,6514,1364,5,5,9.8
873,6515,1364,6,5,10.8
874,6516,1364,7,5,11.4
875,6517,1364,8,5,9.5
876,6518,1364,9,5,9.3
877,6519,1364,10,5,10.4
878,6520,1364,11,5,11.3
879,6521,1364,12,5,12.9
880,6522,1364,13,5,8.4
881,6523,1364,14,5,8.4
882,6524,1364,15,5,6.5
883,6525,1364,16,5,7.8
884,6526,1364,17,5,6.9
885,6527,1364,18,5,7.9
886,6528,1364,19,5,11.5
887,6529,1364,20,5,10.4
888,6530,1364,21,5,9.1
889,6531,1364,22,5,9.5
890,6532,1364,23,5,12.8
891,6533,1364,24,5,13.3
892,6534,1364,25,5,12.5
893,6535,1364,26,5,10.5
894,6536,1364,27,5,7.5
895,6537,1364,28,5,11.5
896,6538,1364,29,5,14.0
897,6539,1364,30,5,9.4
898,6540,1364,31,5,8.7
899,8122,1364,1,6,7.6
900,8123,1364,2,6,7.2
901,8124,1364,3,6,7.8
902,8125,1364,4,6,7.4
903,8126,1364,5,6,7.1
904,8127,1364,6,6,5.9
905,8128,1364,7,6,6.4
906,8129,1364,8,6,8.5
907,8130,1364,9,6,7.4
908,8131,1364,10,6,8.8
909,8132,1364,11,6,8.0
910,8133,1364,12,6,7.9
911,8134,1364,13,6,7.5
912,8135,1364,14,6,8.8
913,8136,1364,15,6,9.4
914,8137,1364,16,6,7.3
915,8138,1364,17,6,6.6
916,8139,1364,18,6,8.8
917,8140,1364,19,6,6.5
918,8141,1364,20,6,8.3
919,8142,1364,21,6,8.1
920,8143,1364,22,6,8.0
921,8144,1364,23,6,7.9
922,8145,1364,24,6,11.5
923,8146,1364,25,6,8.3
924,8147,1364,26,6,7.5
925,8148,1364,27,6,6.8
926,8149,1364,28,6,9.6
927,8150,1364,29,6,11.5
928,8151,1364,30,6,8.7
929,8152,1364,31,6,9.8
930,9734,1364,1,7,5.5
931,9735,1364,2,7,7.4
